Interest,Skill_Level,Aptitude,Personality,Career,Education_Level,Preferred_Work_Type
Finance,Low,97,Introvert,Financial Analyst,Master,Remote
Coding,Medium,76,Creative,Software Developer,Bachelor,Onsite
Healthcare,Low,56,Creative,Nurse,Bachelor,Onsite
Healthcare,Low,56,Analytical,Doctor,High School,Onsite
Teaching,Low,99,Analytical,Teacher,Master,Hybrid
Healthcare,High,80,Extrovert,Nurse,Bachelor,Hybrid
Design,Medium,54,Extrovert,UI/UX Designer,Master,Onsite
Business,High,65,Analytical,MBA,Bachelor,Remote
Coding,Medium,61,Introvert,Data Scientist,Bachelor,Remote
Healthcare,High,73,Creative,Nurse,High School,Remote
Healthcare,Low,81,Analytical,Doctor,Master,Onsite
Teaching,Medium,76,Introvert,Teacher,High School,Remote
Design,Medium,77,Analytical,UI/UX Designer,Bachelor,Hybrid
Teaching,High,93,Analytical,Professor,Master,Onsite
Business,Medium,69,Creative,Marketing Manager,Master,Hybrid
Business,Medium,99,Extrovert,Marketing Manager,Master,Hybrid
Healthcare,Medium,68,Introvert,Nurse,High School,Remote
Teaching,Medium,65,Introvert,Teacher,Bachelor,Hybrid
Coding,High,83,Analytical,Data Scientist,Master,Hybrid
Teaching,Medium,70,Introvert,Professor,High School,Hybrid
Healthcare,High,63,Creative,Nurse,High School,Hybrid
Arts,Medium,60,Analytical,Artist,Bachelor,Hybrid
Coding,High,84,Creative,AI Engineer,High School,Remote
Arts,Medium,59,Introvert,Content Creator,High School,Onsite
Teaching,Medium,91,Creative,Professor,High School,Hybrid
Business,Low,94,Extrovert,MBA,Master,Onsite
Healthcare,Low,88,Analytical,Nurse,Bachelor,Onsite
Coding,High,93,Analytical,Software Developer,Master,Hybrid
Business,Medium,88,Introvert,MBA,High School,Remote
Business,Low,73,Creative,MBA,Master,Remote
Design,Medium,95,Introvert,Graphic Designer,High School,Onsite
Design,High,90,Extrovert,Graphic Designer,High School,Hybrid
Arts,Medium,81,Introvert,Artist,High School,Hybrid
Coding,High,61,Creative,Software Developer,Bachelor,Remote
Arts,Low,94,Introvert,Content Creator,High School,Remote
Teaching,High,88,Creative,Professor,High School,Onsite
Teaching,High,90,Extrovert,Professor,Master,Onsite
Coding,Medium,61,Extrovert,Software Developer,Master,Onsite
Teaching,Low,90,Introvert,Teacher,Master,Hybrid
Business,Low,94,Extrovert,MBA,High School,Remote
Finance,Medium,97,Extrovert,Chartered Accountant,High School,Hybrid
Arts,Medium,77,Introvert,Artist,Master,Hybrid
Finance,Low,75,Extrovert,Chartered Accountant,Bachelor,Hybrid
Teaching,Medium,81,Extrovert,Teacher,High School,Hybrid
Teaching,Low,79,Introvert,Teacher,High School,Onsite
Coding,Medium,86,Analytical,Software Developer,Master,Hybrid
Business,High,72,Extrovert,MBA,Bachelor,Remote
Finance,High,63,Creative,Financial Analyst,Master,Remote
Finance,High,82,Creative,Financial Analyst,High School,Hybrid
Finance,High,92,Creative,Financial Analyst,High School,Hybrid
Design,Low,99,Introvert,UI/UX Designer,Master,Remote
Coding,High,72,Creative,Software Developer,Bachelor,Hybrid
Healthcare,Medium,57,Introvert,Doctor,Master,Hybrid
Arts,Medium,60,Introvert,Artist,Bachelor,Remote
Teaching,High,100,Analytical,Teacher,Bachelor,Onsite
Teaching,High,80,Extrovert,Professor,Master,Onsite
Healthcare,High,67,Analytical,Nurse,Bachelor,Hybrid
Design,High,75,Extrovert,UI/UX Designer,Bachelor,Onsite
Healthcare,Medium,100,Analytical,Nurse,Bachelor,Onsite
Arts,High,50,Extrovert,Content Creator,Master,Onsite
Healthcare,Low,81,Extrovert,Nurse,High School,Onsite
Coding,Low,84,Creative,Software Developer,High School,Onsite
Design,High,64,Analytical,UI/UX Designer,High School,Remote
Arts,Low,89,Extrovert,Content Creator,Bachelor,Hybrid
Design,Low,78,Extrovert,UI/UX Designer,Master,Onsite
Teaching,Low,54,Introvert,Teacher,Bachelor,Onsite
Coding,High,81,Extrovert,AI Engineer,Bachelor,Onsite
Design,High,66,Introvert,UI/UX Designer,High School,Onsite
Coding,Medium,53,Analytical,Data Scientist,High School,Hybrid
Finance,Low,61,Introvert,Chartered Accountant,High School,Hybrid
Business,Medium,72,Extrovert,MBA,High School,Remote
Coding,High,89,Extrovert,AI Engineer,Master,Onsite
Coding,High,51,Analytical,AI Engineer,Bachelor,Remote
Finance,High,64,Extrovert,Chartered Accountant,High School,Hybrid
Coding,Medium,51,Creative,Software Developer,Master,Hybrid
Business,Medium,68,Analytical,MBA,Bachelor,Remote
Design,Low,59,Analytical,UI/UX Designer,High School,Hybrid
Teaching,Medium,69,Analytical,Professor,High School,Remote
Business,High,81,Creative,MBA,Master,Remote
Design,Low,72,Analytical,Graphic Designer,High School,Onsite
Coding,High,61,Creative,Data Scientist,Bachelor,Hybrid
Teaching,Low,61,Extrovert,Teacher,Bachelor,Remote
Finance,Medium,72,Creative,Chartered Accountant,High School,Onsite
Teaching,Medium,54,Analytical,Professor,Master,Hybrid
Arts,Low,97,Creative,Artist,High School,Onsite
Business,High,93,Analytical,Marketing Manager,Bachelor,Hybrid
Teaching,Low,88,Introvert,Teacher,Master,Remote
Business,Low,92,Introvert,Marketing Manager,High School,Remote
Design,Medium,86,Extrovert,UI/UX Designer,Bachelor,Onsite
Arts,Medium,97,Analytical,Content Creator,High School,Onsite
Finance,High,87,Extrovert,Chartered Accountant,Master,Onsite
Finance,Low,88,Introvert,Chartered Accountant,High School,Hybrid
Coding,Low,67,Analytical,Software Developer,Bachelor,Remote
Coding,Medium,93,Analytical,Data Scientist,Master,Onsite
Healthcare,Low,67,Extrovert,Nurse,High School,Onsite
Business,Medium,55,Creative,MBA,Bachelor,Hybrid
Healthcare,High,77,Introvert,Doctor,Master,Onsite
Coding,High,52,Creative,Data Scientist,High School,Hybrid
Coding,Low,53,Creative,Software Developer,High School,Hybrid
Teaching,Medium,72,Analytical,Professor,Master,Hybrid
Coding,High,94,Extrovert,Software Developer,High School,Hybrid
Design,Medium,98,Introvert,UI/UX Designer,Bachelor,Remote
Arts,Medium,58,Creative,Content Creator,Master,Onsite
Healthcare,High,67,Analytical,Doctor,Master,Onsite
Design,High,60,Introvert,Graphic Designer,Master,Hybrid
Coding,High,97,Analytical,Data Scientist,Bachelor,Onsite
Business,High,92,Introvert,MBA,Master,Remote
Business,Low,63,Introvert,MBA,Bachelor,Onsite
Arts,Medium,81,Analytical,Content Creator,Bachelor,Onsite
Teaching,Low,84,Extrovert,Professor,High School,Remote
Finance,Medium,92,Introvert,Chartered Accountant,Bachelor,Remote
Finance,High,67,Analytical,Chartered Accountant,High School,Hybrid
Design,Medium,82,Extrovert,Graphic Designer,Master,Remote
Arts,Low,51,Analytical,Artist,High School,Remote
Arts,High,76,Extrovert,Content Creator,Master,Onsite
Arts,Low,85,Extrovert,Artist,Master,Onsite
Healthcare,High,97,Analytical,Doctor,High School,Remote
Design,Low,70,Creative,UI/UX Designer,High School,Hybrid
Teaching,Low,70,Extrovert,Teacher,Master,Hybrid
Coding,Low,73,Creative,Data Scientist,High School,Onsite
Business,Low,99,Creative,MBA,Bachelor,Onsite
Finance,Medium,76,Extrovert,Financial Analyst,High School,Remote
Coding,Low,75,Analytical,Software Developer,Bachelor,Onsite
Design,Medium,92,Creative,Graphic Designer,High School,Hybrid
Business,Low,87,Introvert,MBA,Bachelor,Onsite
Healthcare,Low,77,Analytical,Doctor,Master,Remote
Design,Medium,52,Creative,UI/UX Designer,Bachelor,Onsite
Coding,Low,91,Analytical,Software Developer,Master,Hybrid
Arts,High,93,Analytical,Content Creator,Master,Remote
Finance,Medium,94,Extrovert,Chartered Accountant,Bachelor,Onsite
Business,Medium,81,Introvert,MBA,Bachelor,Remote
Healthcare,High,94,Extrovert,Nurse,High School,Hybrid
Arts,High,79,Extrovert,Artist,Master,Onsite
Finance,High,57,Introvert,Chartered Accountant,Master,Onsite
Coding,Low,51,Extrovert,AI Engineer,Master,Onsite
Design,High,82,Creative,Graphic Designer,Bachelor,Onsite
Arts,High,80,Creative,Content Creator,Master,Onsite
Healthcare,Low,63,Creative,Doctor,Bachelor,Hybrid
Design,High,94,Analytical,Graphic Designer,Master,Remote
Finance,High,80,Analytical,Chartered Accountant,Bachelor,Remote
Healthcare,Low,94,Analytical,Doctor,High School,Onsite
Teaching,High,80,Creative,Teacher,Bachelor,Remote
Arts,High,99,Extrovert,Artist,Master,Remote
Business,Medium,52,Analytical,Marketing Manager,High School,Remote
Business,High,66,Creative,MBA,Bachelor,Hybrid
Business,Medium,51,Introvert,Marketing Manager,High School,Hybrid
Business,High,90,Creative,MBA,Master,Hybrid
Healthcare,Medium,80,Analytical,Nurse,High School,Remote
Business,Medium,78,Introvert,MBA,High School,Remote
Finance,High,96,Introvert,Financial Analyst,Bachelor,Onsite
Coding,Medium,59,Introvert,AI Engineer,High School,Hybrid
Coding,Medium,82,Analytical,Data Scientist,High School,Remote
Arts,Low,59,Extrovert,Content Creator,Bachelor,Remote
Teaching,High,92,Introvert,Teacher,Bachelor,Remote
Arts,Low,80,Extrovert,Content Creator,Master,Remote
Coding,Medium,56,Introvert,AI Engineer,High School,Hybrid
Teaching,High,70,Extrovert,Teacher,Bachelor,Remote
Finance,Low,55,Introvert,Chartered Accountant,High School,Onsite
Arts,High,90,Creative,Content Creator,High School,Onsite
Coding,Medium,96,Extrovert,Data Scientist,Master,Onsite
Coding,Low,70,Introvert,AI Engineer,High School,Onsite
Finance,High,92,Analytical,Chartered Accountant,Bachelor,Remote
Arts,Low,95,Creative,Content Creator,Bachelor,Onsite
Design,Medium,55,Extrovert,Graphic Designer,Master,Hybrid
Teaching,Low,90,Analytical,Professor,Bachelor,Onsite
Design,High,89,Creative,Graphic Designer,High School,Onsite
Teaching,Medium,71,Introvert,Teacher,Bachelor,Onsite
Finance,Medium,97,Analytical,Chartered Accountant,Bachelor,Hybrid
Arts,High,51,Creative,Artist,High School,Hybrid
Finance,Medium,61,Creative,Financial Analyst,Bachelor,Hybrid
Teaching,Low,81,Introvert,Teacher,Master,Onsite
Teaching,Medium,79,Creative,Teacher,Bachelor,Onsite
Teaching,Medium,85,Analytical,Professor,High School,Remote
Finance,Medium,56,Extrovert,Chartered Accountant,High School,Hybrid
Business,High,97,Creative,MBA,High School,Remote
Coding,High,86,Introvert,AI Engineer,Bachelor,Remote
Arts,Medium,76,Creative,Artist,High School,Hybrid
Arts,High,76,Introvert,Content Creator,High School,Remote
Teaching,Medium,71,Creative,Teacher,High School,Onsite
Arts,Low,56,Extrovert,Artist,High School,Remote
Design,Medium,60,Analytical,UI/UX Designer,Bachelor,Remote
Healthcare,Low,91,Extrovert,Nurse,High School,Hybrid
Design,High,64,Creative,Graphic Designer,Master,Hybrid
Design,Low,73,Extrovert,Graphic Designer,High School,Hybrid
Business,Medium,66,Analytical,Marketing Manager,Bachelor,Remote
Finance,Medium,99,Introvert,Financial Analyst,High School,Remote
Business,Low,52,Introvert,Marketing Manager,Master,Onsite
Healthcare,Medium,68,Creative,Nurse,High School,Onsite
Healthcare,Medium,94,Introvert,Nurse,High School,Hybrid
Arts,Low,62,Creative,Content Creator,High School,Remote
Arts,Low,85,Creative,Content Creator,Master,Hybrid
Coding,Medium,84,Analytical,Software Developer,Bachelor,Hybrid
Finance,Medium,98,Creative,Chartered Accountant,High School,Remote
Teaching,Low,53,Creative,Professor,Master,Onsite
Business,High,72,Extrovert,MBA,Bachelor,Hybrid
Healthcare,Medium,54,Extrovert,Doctor,High School,Hybrid
Business,High,72,Analytical,MBA,High School,Hybrid
Finance,High,66,Creative,Financial Analyst,Bachelor,Hybrid
Coding,Low,90,Analytical,Software Developer,High School,Remote
Healthcare,High,93,Analytical,Doctor,Bachelor,Onsite
Design,High,98,Extrovert,UI/UX Designer,Bachelor,Hybrid
Business,High,61,Introvert,Marketing Manager,Bachelor,Onsite
Business,Low,63,Analytical,MBA,Bachelor,Remote
Teaching,High,52,Extrovert,Teacher,Master,Onsite
Finance,Low,62,Introvert,Chartered Accountant,Master,Hybrid
Healthcare,Medium,99,Creative,Doctor,Bachelor,Remote
Finance,High,90,Creative,Financial Analyst,Bachelor,Remote
Business,High,79,Creative,MBA,Bachelor,Hybrid
Business,Medium,100,Extrovert,MBA,Bachelor,Remote
Teaching,Low,89,Extrovert,Teacher,High School,Remote
Business,High,73,Extrovert,Marketing Manager,Bachelor,Remote
Coding,Low,88,Introvert,AI Engineer,Master,Remote
Teaching,Medium,76,Introvert,Professor,Master,Hybrid
Business,High,59,Introvert,MBA,Master,Remote
Teaching,High,79,Analytical,Professor,Master,Remote
Design,Low,85,Extrovert,UI/UX Designer,Bachelor,Hybrid
Finance,Low,83,Creative,Chartered Accountant,High School,Hybrid
Design,High,98,Extrovert,UI/UX Designer,High School,Hybrid
Teaching,High,51,Introvert,Professor,Bachelor,Hybrid
Arts,Medium,63,Creative,Content Creator,Bachelor,Hybrid
Coding,Low,74,Analytical,AI Engineer,Master,Hybrid
Finance,Low,94,Extrovert,Chartered Accountant,High School,Onsite
Coding,Medium,80,Introvert,Software Developer,Bachelor,Remote
Design,Low,78,Creative,Graphic Designer,Bachelor,Onsite
Business,Medium,61,Analytical,Marketing Manager,High School,Remote
Healthcare,High,70,Extrovert,Doctor,High School,Onsite
Business,Medium,53,Analytical,MBA,High School,Onsite
Design,Low,90,Analytical,UI/UX Designer,High School,Onsite
Finance,Medium,87,Extrovert,Financial Analyst,Master,Onsite
Design,Medium,57,Introvert,UI/UX Designer,High School,Hybrid
Business,Low,89,Extrovert,Marketing Manager,High School,Onsite
Business,Medium,81,Introvert,Marketing Manager,Master,Hybrid
Design,Medium,94,Extrovert,Graphic Designer,Master,Hybrid
Coding,Low,77,Analytical,Data Scientist,Master,Hybrid
Healthcare,Medium,52,Creative,Doctor,Bachelor,Hybrid
Design,Medium,85,Creative,Graphic Designer,High School,Remote
Finance,Medium,62,Analytical,Financial Analyst,Bachelor,Onsite
Design,High,89,Creative,Graphic Designer,High School,Hybrid
Healthcare,Medium,74,Extrovert,Nurse,Master,Remote
Finance,Low,95,Creative,Financial Analyst,Bachelor,Onsite
Finance,Low,90,Creative,Chartered Accountant,Master,Hybrid
Healthcare,High,78,Analytical,Nurse,Bachelor,Hybrid
Business,Low,63,Extrovert,Marketing Manager,Master,Hybrid
Healthcare,High,91,Creative,Doctor,Master,Onsite
Business,Low,54,Extrovert,MBA,High School,Hybrid
Finance,High,95,Extrovert,Chartered Accountant,Master,Hybrid
Design,Low,77,Creative,UI/UX Designer,Master,Onsite
Finance,Low,65,Creative,Financial Analyst,Master,Onsite
Finance,High,62,Analytical,Chartered Accountant,Bachelor,Remote
Finance,Medium,81,Introvert,Financial Analyst,High School,Onsite
Coding,High,69,Introvert,Software Developer,Bachelor,Onsite
Arts,High,97,Introvert,Artist,Master,Remote
Finance,Low,97,Analytical,Chartered Accountant,Bachelor,Onsite
Design,High,82,Extrovert,Graphic Designer,Bachelor,Hybrid
Healthcare,Medium,57,Introvert,Doctor,Bachelor,Onsite
Arts,High,68,Creative,Artist,Bachelor,Remote
Arts,Low,85,Extrovert,Artist,Master,Remote
Business,High,53,Extrovert,MBA,High School,Remote
Healthcare,High,50,Analytical,Doctor,Bachelor,Hybrid
Arts,Low,74,Creative,Artist,Bachelor,Hybrid
Design,High,51,Introvert,UI/UX Designer,High School,Remote
Finance,High,93,Creative,Chartered Accountant,Master,Onsite
Teaching,Medium,94,Analytical,Teacher,High School,Onsite
Business,High,76,Creative,MBA,High School,Onsite
Teaching,High,64,Introvert,Teacher,Master,Remote
Design,Low,86,Analytical,UI/UX Designer,High School,Remote
Coding,Medium,64,Analytical,AI Engineer,Bachelor,Hybrid
Healthcare,High,63,Extrovert,Nurse,Master,Hybrid
Design,Low,83,Analytical,UI/UX Designer,Bachelor,Hybrid
Healthcare,High,99,Introvert,Nurse,Master,Remote
Business,Medium,50,Analytical,Marketing Manager,Bachelor,Hybrid
Business,Low,98,Introvert,MBA,High School,Remote
Healthcare,Medium,84,Introvert,Nurse,High School,Hybrid
Arts,Low,92,Analytical,Artist,Bachelor,Hybrid
Design,Medium,99,Creative,UI/UX Designer,Bachelor,Remote
Teaching,High,71,Extrovert,Professor,Master,Onsite
Business,Low,58,Creative,MBA,Bachelor,Remote
Finance,Medium,67,Creative,Chartered Accountant,Master,Hybrid
Finance,High,70,Creative,Chartered Accountant,Master,Hybrid
Business,High,52,Introvert,Marketing Manager,Bachelor,Hybrid
Teaching,Medium,70,Analytical,Teacher,Master,Hybrid
Business,Low,63,Introvert,Marketing Manager,Master,Remote
Arts,Low,95,Creative,Artist,Master,Remote
Teaching,Medium,59,Introvert,Teacher,High School,Hybrid
Design,Medium,86,Analytical,UI/UX Designer,Master,Onsite
Design,High,73,Extrovert,Graphic Designer,High School,Onsite
Business,Low,90,Introvert,Marketing Manager,Master,Onsite
Business,High,56,Extrovert,MBA,Master,Hybrid
Coding,Medium,58,Introvert,Data Scientist,Master,Onsite
Coding,Medium,80,Extrovert,AI Engineer,High School,Hybrid
Finance,Medium,93,Introvert,Financial Analyst,Bachelor,Remote
Coding,High,76,Introvert,Data Scientist,High School,Hybrid
Coding,Low,98,Analytical,Data Scientist,Bachelor,Hybrid
Finance,Low,85,Creative,Chartered Accountant,Bachelor,Hybrid
Healthcare,Medium,51,Analytical,Doctor,High School,Hybrid
Healthcare,Medium,69,Analytical,Doctor,Bachelor,Remote
Teaching,Low,76,Extrovert,Teacher,High School,Hybrid
Arts,High,100,Analytical,Content Creator,High School,Hybrid
Finance,Medium,81,Introvert,Financial Analyst,Master,Hybrid
Teaching,Medium,60,Extrovert,Teacher,Master,Remote
Finance,High,65,Creative,Chartered Accountant,Master,Onsite
Arts,High,71,Extrovert,Artist,Bachelor,Hybrid
Healthcare,Low,65,Introvert,Doctor,High School,Onsite
Arts,Low,57,Introvert,Artist,Master,Remote
Coding,Low,100,Analytical,Software Developer,Master,Remote
Healthcare,Low,63,Creative,Doctor,Bachelor,Onsite
Arts,Medium,90,Introvert,Artist,High School,Onsite
Coding,Medium,50,Analytical,Data Scientist,Bachelor,Remote
Healthcare,Low,58,Introvert,Nurse,Bachelor,Remote
Business,High,58,Extrovert,Marketing Manager,High School,Hybrid
Arts,Medium,93,Extrovert,Artist,High School,Onsite
Design,Medium,74,Analytical,Graphic Designer,High School,Onsite
Business,Medium,65,Introvert,MBA,High School,Hybrid
Coding,High,68,Analytical,Data Scientist,Bachelor,Remote
Teaching,High,52,Introvert,Teacher,Bachelor,Remote
Teaching,Medium,51,Creative,Professor,Bachelor,Remote
Arts,Low,73,Extrovert,Content Creator,Master,Remote
Teaching,High,72,Extrovert,Professor,Bachelor,Remote
Arts,High,77,Analytical,Artist,Bachelor,Onsite
Arts,High,57,Introvert,Content Creator,Master,Hybrid
Teaching,Low,54,Creative,Professor,High School,Remote
Business,Low,85,Extrovert,Marketing Manager,High School,Hybrid
Healthcare,High,60,Creative,Nurse,Master,Onsite
Arts,High,56,Introvert,Artist,Master,Onsite
Arts,High,79,Introvert,Content Creator,Bachelor,Remote
Finance,High,66,Introvert,Chartered Accountant,Bachelor,Hybrid
Finance,High,88,Extrovert,Financial Analyst,High School,Hybrid
Arts,High,97,Analytical,Content Creator,Master,Remote
Business,Low,80,Extrovert,Marketing Manager,High School,Hybrid
Design,Medium,93,Extrovert,UI/UX Designer,Master,Hybrid
Design,Low,92,Extrovert,UI/UX Designer,Bachelor,Onsite
Business,High,82,Extrovert,Marketing Manager,Master,Hybrid
Design,Low,61,Introvert,Graphic Designer,Bachelor,Hybrid
Teaching,Low,51,Introvert,Professor,Master,Remote
Coding,Low,55,Creative,Software Developer,Bachelor,Hybrid
Finance,High,59,Analytical,Chartered Accountant,High School,Onsite
Business,Medium,93,Creative,MBA,Master,Remote
Arts,Medium,84,Analytical,Content Creator,High School,Onsite
Design,Medium,58,Extrovert,Graphic Designer,Bachelor,Hybrid
Teaching,Medium,55,Creative,Teacher,Master,Remote
Finance,Medium,75,Introvert,Chartered Accountant,Bachelor,Hybrid
Design,High,58,Creative,Graphic Designer,Master,Onsite
Finance,Low,78,Introvert,Financial Analyst,Bachelor,Onsite
Teaching,Medium,76,Introvert,Professor,High School,Onsite
Coding,Medium,72,Introvert,AI Engineer,Bachelor,Hybrid
Finance,Medium,72,Creative,Financial Analyst,Bachelor,Remote
Coding,Low,52,Introvert,Data Scientist,Master,Onsite
Teaching,Medium,69,Analytical,Teacher,High School,Remote
Coding,Medium,83,Introvert,AI Engineer,Master,Hybrid
Arts,Medium,75,Analytical,Artist,Master,Remote
Business,Medium,93,Introvert,Marketing Manager,High School,Onsite
Healthcare,Medium,64,Introvert,Doctor,Master,Hybrid
Coding,Low,61,Analytical,Data Scientist,High School,Hybrid
Design,High,88,Extrovert,Graphic Designer,Master,Onsite
Coding,Low,94,Introvert,Data Scientist,Bachelor,Remote
Arts,Low,79,Analytical,Artist,Master,Remote
Arts,High,95,Creative,Content Creator,Bachelor,Hybrid
Finance,High,57,Extrovert,Financial Analyst,Bachelor,Hybrid
Arts,High,71,Extrovert,Content Creator,Master,Hybrid
Finance,Medium,53,Introvert,Financial Analyst,High School,Onsite
Healthcare,High,59,Analytical,Nurse,Bachelor,Remote
Business,Low,64,Analytical,MBA,Master,Remote
Arts,Medium,71,Introvert,Content Creator,Master,Hybrid
Arts,High,90,Introvert,Artist,Master,Remote
Business,Medium,88,Introvert,Marketing Manager,High School,Onsite
Teaching,High,88,Extrovert,Professor,High School,Onsite
Design,Medium,62,Analytical,Graphic Designer,Master,Onsite
Coding,Medium,75,Analytical,Data Scientist,Bachelor,Hybrid
Arts,Low,73,Extrovert,Artist,High School,Onsite
Business,Low,67,Analytical,Marketing Manager,Master,Remote
Healthcare,High,88,Creative,Doctor,Bachelor,Remote
Healthcare,Low,73,Extrovert,Doctor,High School,Remote
Business,High,94,Analytical,MBA,High School,Hybrid
Finance,High,63,Creative,Financial Analyst,Bachelor,Hybrid
Design,Low,76,Analytical,Graphic Designer,Bachelor,Hybrid
Finance,Medium,85,Introvert,Chartered Accountant,Bachelor,Remote
Teaching,High,87,Creative,Teacher,Master,Onsite
Healthcare,Medium,81,Analytical,Doctor,High School,Onsite
Coding,High,59,Introvert,Software Developer,Master,Hybrid
Arts,Medium,78,Introvert,Content Creator,High School,Remote
Healthcare,Low,58,Extrovert,Doctor,Master,Onsite
Arts,Medium,70,Creative,Artist,Master,Onsite
Finance,Medium,87,Extrovert,Chartered Accountant,High School,Onsite
Design,High,89,Creative,UI/UX Designer,Master,Hybrid
Arts,High,57,Introvert,Content Creator,High School,Onsite
Arts,Medium,83,Creative,Content Creator,High School,Onsite
Arts,Medium,74,Analytical,Content Creator,Bachelor,Remote
Design,Low,100,Analytical,UI/UX Designer,Bachelor,Onsite
Coding,Medium,84,Introvert,AI Engineer,Bachelor,Hybrid
Business,High,89,Analytical,MBA,Bachelor,Hybrid
Finance,Medium,61,Extrovert,Financial Analyst,High School,Remote
Healthcare,High,78,Creative,Nurse,Master,Remote
Design,Medium,84,Analytical,Graphic Designer,Master,Onsite
Coding,High,98,Extrovert,AI Engineer,Bachelor,Remote
Design,Medium,82,Analytical,UI/UX Designer,Master,Onsite
Finance,High,68,Creative,Financial Analyst,Bachelor,Onsite
Healthcare,Low,68,Extrovert,Nurse,Bachelor,Remote
Healthcare,Low,70,Creative,Doctor,Master,Hybrid
Finance,Low,62,Creative,Financial Analyst,High School,Onsite
Healthcare,Medium,74,Analytical,Doctor,Master,Remote
Coding,High,66,Creative,Data Scientist,Bachelor,Remote
Finance,Low,95,Introvert,Financial Analyst,High School,Hybrid
Healthcare,Medium,83,Analytical,Doctor,Master,Remote
Design,Low,67,Extrovert,UI/UX Designer,Master,Onsite
Business,Low,74,Extrovert,Marketing Manager,Bachelor,Remote
Business,Low,72,Introvert,MBA,Master,Remote
Coding,Low,88,Creative,Data Scientist,Bachelor,Remote
Coding,Medium,50,Creative,AI Engineer,Bachelor,Remote
Teaching,High,60,Introvert,Professor,Bachelor,Onsite
Teaching,Medium,55,Analytical,Professor,High School,Hybrid
Healthcare,High,81,Analytical,Nurse,Master,Remote
Coding,Medium,93,Extrovert,AI Engineer,Bachelor,Remote
Design,Low,53,Extrovert,Graphic Designer,Master,Remote
Healthcare,High,77,Creative,Nurse,High School,Onsite
